id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,hyperlink
0,TOI-2015 b,47.3444,16.4 Earths,16.11,2023,https://science.nasa.gov/exoplanet-catalog/toi-2015-b/
1,TOI-6086 b,31.4566,1.76 Earths,14.981,2024,https://science.nasa.gov/exoplanet-catalog/toi-6086-b/
2,TOI-6008 b,23.1008,4 Earths,15.97,2024,https://science.nasa.gov/exoplanet-catalog/toi-6008-b/
3,TOI-5720 b,35.8256,4.3 Earths,13.847,2024,https://science.nasa.gov/exoplanet-catalog/toi-5720-b/
4,GJ 900 b,20.8065,11 Jupiters,9.59,2024,https://science.nasa.gov/exoplanet-catalog/gj-900-b/
5,UCAC4 328-061594 b,39.9089,21 Jupiters,15.689,2024,https://science.nasa.gov/exoplanet-catalog/ucac4-328-061594-b/
6,UCAC3 113-933 b,52.5829,21 Jupiters,12.501,2024,https://science.nasa.gov/exoplanet-catalog/ucac3-113-933-b/
7,Gliese 12 b,12.21,3.87 Earths,12.6,2024,https://science.nasa.gov/exoplanet-catalog/gliese-12-b/
8,SPECULOOS-3 b,6792.0363261718,0.894 Earths,17.8,2024,https://science.nasa.gov/exoplanet-catalog/speculoos-3-b/
9,TOI-4633 c,95.2016,0.387 Jupiters,9.017,2024,https://science.nasa.gov/exoplanet-catalog/toi-4633-c/
10,2MASS J0249-0557 c,66.0613,11.6 Jupiters,18.3,2018,https://science.nasa.gov/exoplanet-catalog/2mass-j0249-0557-c/
11,TOI-815 c,59.7117,23.5 Earths,10.217,2024,https://science.nasa.gov/exoplanet-catalog/toi-815-c/
12,TOI-815 b,59.7117,7.6 Earths,10.217,2024,https://science.nasa.gov/exoplanet-catalog/toi-815-b/
13,TOI-4559 b,31.6354,2.59 Earths,13.115,2024,https://science.nasa.gov/exoplanet-catalog/toi-4559-b/
14,TOI-1739 b,70.9819,3.52 Earths,10.692,2024,https://science.nasa.gov/exoplanet-catalog/toi-1739-b/
